Mon Feb 07 21:13:29 +0000 2011	aloncr	scored	174	iPhone	a juicy 6 fruit combo	
Sun Mar 06 02:03:15 +0000 2011	tonymyan	scored	5386		help from 19 Freeze Bananas	
Mon Feb 07 21:00:56 +0000 2011	sumenkow	sliced	46	iPhone		6 lush RED APPLES
Mon Feb 07 21:02:45 +0000 2011	sumenkow	sliced	79	iPhone		6 delicious MANGOES
Mon Feb 07 21:08:05 +0000 2011	arexfox	scored	601	iPad	a lush 7 fruit combo	
Mon Feb 07 21:08:29 +0000 2011	OasiStyle	scored	377	iPad	a luscious 7 fruit combo	
Mon Feb 07 21:22:11 +0000 2011	SamMc_SA	scored	242	iPhone	a lush 6 ORANGE combo	
Fri Mar 04 22:32:54 +0000 2011	machdz	sliced	125	iPhone		8 tasty oranges
Sun Mar 06 01:56:18 +0000 2011	techniman	sliced	189	iPhone		15 luscious lemons
Sun Mar 06 02:01:26 +0000 2011	Raaaavey	scored	258		help from 2 Score x2 Bananas	
Wed Mar 09 08:11:07 +0000 2011	popcornner	scored	220		help from 4 Freeze Bananas	
Fri Mar 11 21:06:43 +0000 2011	SpikeTeddy	scored	234	iPhone	a tasty 6 lemon combo	
Fri Mar 11 21:09:29 +0000 2011	tianaghattas11	sliced	6	iPhone		3 delicious watermelons
Fri Mar 11 21:10:49 +0000 2011	tianaghattas11	sliced	61	iPhone		8 succulent oranges
Mon Mar 14 07:18:20 +0000 2011	Sweetmayumijane	scored	384		help from 3 Freeze Bananas	
Mon Mar 14 21:16:30 +0000 2011	SmokeySiebood	scored	197	iPhone	a tasty 6 fruit combo	
Mon Feb 07 20:46:20 +0000 2011	Richy_Vidal	sliced	77	iPhone		8 juicy apples
Mon Feb 07 20:51:38 +0000 2011	duffrocks	scored	275	iPhone		
Mon Feb 07 20:55:59 +0000 2011	kiwirock120	scored	193	iPhone	a lush 5 fruit combo	
Sat Mar 05 21:05:23 +0000 2011	SUPProductions	sliced	363	iPhone		28 succulent pears
Sat Mar 05 21:08:16 +0000 2011	tiajanelle81	scored	713		help from 2 Frenzy Bananas	
Sun Mar 06 01:31:23 +0000 2011	nnsaeed	sliced	423	iPhone		23 delicious watermelons
Sun Mar 06 01:33:55 +0000 2011	Anais_Aguttes	sliced	1	iPhone		
Sun Mar 06 01:36:59 +0000 2011	dominopot	sliced	440	iPhone		26 juicy red apples
Sun Mar 06 01:40:10 +0000 2011	datesss	sliced	101	iPhone		8 lush watermelons
Sun Mar 06 01:43:58 +0000 2011	MissCatWatson	scored	399		help from 2 Frenzy Bananas	
Sun Mar 06 01:44:04 +0000 2011	MarcioValle	scored	143		help from a Freeze Banana	
Sun Mar 06 01:51:23 +0000 2011	dominopot	scored	419		help from 2 Frenzy Bananas	
Sun Mar 06 01:53:51 +0000 2011	bieberlove934	scored	296		help from 2 Freeze Bananas	
Tue Mar 08 15:59:10 +0000 2011	ulukait	scored	391		help from 2 Freeze Bananas	
Tue Mar 08 15:59:47 +0000 2011	Virgin__Islands	sliced	302	iPad		20 lush oranges
Wed Mar 09 06:20:01 +0000 2011	N1fe	scored	196	iPhone	a tasty 5 fruit combo	
Wed Mar 09 06:24:40 +0000 2011	Nat_QueenCole	scored	421		help from 3 Frenzy Bananas	
Wed Mar 09 06:45:18 +0000 2011	N1fe	scored	395		help from 2 Freeze Bananas	
Wed Mar 09 06:53:15 +0000 2011	GTM_CrimeBoss	scored	323		help from 4 Freeze Bananas	
Wed Mar 09 06:55:09 +0000 2011	GTM_CrimeBoss	scored	346		help from 2 Score x2 Bananas	
Wed Mar 09 07:03:09 +0000 2011	lenni_ng	scored	562		help from 2 Frenzy Bananas	
